OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,YearBuilt,SalePrice
7,1479,2,558,1453,1479,2,2003,226000
4,747,1,220,747,747,1,1945,80000
7,2287,2,667,1304,1304,2,1953,225000
7,2223,2,516,2223,2223,2,1973,244000
4,845,2,360,845,845,1,1982,129500
7,1718,2,427,832,885,2,1998,185000
5,1086,2,490,1086,1086,1,1954,144900
3,1605,1,379,840,840,2,1915,107400
4,988,1,297,462,526,1,1973,91000
4,952,1,283,952,952,1,1956,135750
5,1285,1,240,672,1072,1,1948,127000
4,1768,0,0,1768,1768,2,1968,136500
5,1230,2,440,440,682,1,1910,110000
6,2142,1,509,896,1182,2,1968,193500
6,1337,2,405,1237,1337,2,1998,153500
8,1563,3,758,1563,1563,2,2007,245000
5,1065,2,461,1065,1065,1,1960,126500
7,1474,2,400,384,804,2,1995,168500
8,2417,2,462,1288,1301,2,1991,260000
6,1560,2,400,684,684,2,2005,174000
6,1224,2,528,612,612,2,2009,164500
3,1526,0,0,1013,1013,1,1915,85000
4,990,0,0,990,990,1,1994,123600
4,1040,2,420,0,1040,1,1950,109900
5,1235,2,480,1235,1235,1,1961,98600
5,964,2,432,876,964,1,1921,163500
6,2291,2,506,1214,1260,2,1910,133900
6,1786,2,684,824,905,2,1997,204750
6,1470,2,420,680,680,2,1993,185000
7,1588,2,472,1588,1588,2,1999,214000
4,960,1,432,960,960,1,1965,94750
5,835,1,366,458,835,1,1920,83000
4,1225,0,0,950,1225,1,1959,128950
6,1610,2,480,1610,1610,2,1977,205000
6,1732,2,476,741,977,2,1985,178000
5,1535,2,410,0,1535,2,1979,118964
7,1226,3,740,1226,1226,2,2009,198900
7,1818,1,240,1040,1226,1,1931,169500
8,1992,2,648,1053,1053,2,2003,250000
4,1047,1,273,641,1047,1,1885,100000
5,789,1,250,789,789,1,1948,115000
5,1517,0,0,793,997,2,1919,115000
6,1844,2,546,1844,1844,2,1977,190000
6,1855,1,325,994,1216,2,1954,136900
7,1430,2,400,384,774,2,2000,180000
7,2696,3,792,1264,1282,2,2007,383970
6,2259,2,450,1809,2259,2,1953,217000
6,2320,1,180,1028,1436,2,1945,259500
6,1458,2,440,729,729,2,1999,176000
5,1092,1,288,1092,1092,1,1962,139000
5,1125,2,430,1125,1125,1,2006,155000
7,3222,3,594,1673,1699,3,1990,320000
6,1456,2,390,728,728,2,2005,163990
6,988,2,540,938,988,1,1969,180000
4,1123,1,264,732,772,1,1939,100000
6,1080,1,288,1080,1080,1,1958,136000
6,1199,2,530,1199,1199,2,1993,153900
6,1586,2,435,1362,1586,2,1979,181000
6,754,0,0,520,520,1,1935,84500
6,958,2,440,1078,958,2,1976,128000
5,840,0,0,672,840,1,1930,87000
6,1348,2,453,660,660,1,1966,155000
5,1053,2,750,1008,1053,1,1958,150000
7,2157,2,487,924,1216,2,1966,226000
6,2054,2,390,992,1022,2,2000,244000
5,1327,2,624,1063,1327,1,1959,150750
8,1296,2,471,1267,1296,2,2001,220000
5,1721,2,440,1461,1721,2,1968,180000
7,1682,2,530,1304,1682,2,1970,174000
5,1214,1,318,1214,1214,2,1967,143000
7,1959,3,766,1907,1959,3,1988,171000
8,1852,3,660,1004,1004,2,1999,230000
6,1764,2,470,928,928,2,1997,231500
4,864,0,0,864,864,1,1971,115000
7,1734,2,660,1734,1734,2,2005,260000
5,1385,2,720,910,910,2,1952,166000
7,1501,2,577,1490,1501,2,1999,204000
5,1728,2,504,1728,1728,2,1963,125000
6,1709,2,380,970,970,2,2004,130000
5,875,1,180,715,875,1,1931,105000
7,2035,2,434,884,884,2,2001,222500
7,1080,0,0,1080,1080,1,2004,141000
5,1344,1,240,896,896,1,1936,115000
5,969,2,440,969,969,1,1975,122000
8,1710,3,866,1710,1710,2,2007,372402
6,1993,2,495,825,1097,2,1971,190000
6,1252,2,564,1602,1252,1,1960,235000
6,1200,1,312,1200,1200,1,1923,125000
6,1096,0,0,572,572,1,1924,79000
5,1040,2,625,0,1040,1,1950,109500
8,1968,3,680,774,774,2,2009,269500
7,1947,2,678,991,991,2,2004,254900
7,2462,2,576,1392,1392,2,2005,320000
6,1232,2,516,1232,1232,2,1984,162500
9,2668,3,726,1572,1572,2,2003,412500
7,1541,2,532,1541,1541,2,2005,220000
4,882,0,0,882,882,1,1956,103200
6,1616,1,216,1149,1149,2,1926,152000
5,1355,0,0,644,808,2,1940,127500
5,1867,1,303,1617,1867,1,1955,190000
8,2161,3,789,1582,1610,1,2007,325624
7,1720,2,440,840,840,2,2004,183500
8,1707,2,511,1686,1707,2,1981,228000
5,1382,2,660,720,854,1,1941,128500
6,1656,2,528,1080,1656,1,1960,215000
7,1767,2,504,1064,1064,2,1987,239000
6,1362,2,504,1362,1362,1,1961,163000
6,1651,2,616,1606,1651,2,1986,184000
6,2158,2,576,1202,2158,2,1950,243000
6,2060,2,521,1151,1164,2,1988,211000
5,1920,2,451,1052,1252,2,1958,172500
9,2234,3,1166,2216,2234,2,2008,501837
5,968,2,480,968,968,1,1923,100000
6,1525,2,440,756,769,2,2000,177000
7,1802,1,216,793,901,1,1920,200100
5,1340,1,252,0,1340,1,1957,120000
7,2082,2,484,1362,1362,2,2003,200000
5,1252,2,576,504,936,1,1908,127000
10,3608,3,840,1107,1518,2,1892,475000
7,1217,2,497,1188,1217,2,1990,173000
5,1656,1,180,660,808,2,1916,135000
5,1224,2,528,1086,1224,0,1979,153337
8,1593,2,682,1593,1593,1,2001,286000
8,2727,2,440,853,1549,2,1932,315000
7,1479,2,484,725,725,1,1972,184000
7,1431,2,666,1431,1431,2,1999,192000
7,1709,2,380,970,970,2,2004,130000
5,864,1,352,864,864,1,1972,127000
6,1456,2,440,855,855,2,1976,148500
7,1726,3,786,1726,1726,2,2007,311872
8,3112,2,795,1360,1360,2,1918,235000
6,2229,0,0,755,929,1,1912,104000
8,1713,3,856,1713,1713,2,2004,274900
4,1121,2,440,1121,1121,2,2003,140000
6,1279,2,473,1196,1279,2,1977,171500
6,1310,1,398,617,865,2,1924,112000
6,848,2,420,848,848,1,2004,149000
5,1284,1,240,720,720,1,1947,110000
7,1442,2,500,1424,1442,2,1990,180500
5,1696,1,349,1140,1696,1,1962,143900
4,1100,1,312,1100,1100,1,1960,141000
7,2062,2,454,1157,1180,2,1988,277000
6,1092,2,504,1092,1092,1,1964,145000
5,864,0,0,864,864,1,1925,98000
6,1212,2,460,1212,1212,2,2009,186000
7,1852,2,644,900,932,2,2009,252678
5,990,2,576,990,990,1,1995,156000
6,1392,1,299,689,689,1,1977,161750
5,1236,1,447,1070,1236,1,1957,134450
7,1436,2,484,1436,1436,2,2004,210000
4,1328,1,210,686,810,1,1925,107000
7,1954,2,431,798,1137,1,1939,311500
7,1248,2,438,1248,1248,2,2005,167240
7,1498,2,675,1498,1498,2,2006,204900
6,2267,2,390,1010,1010,2,2002,200000
6,1552,2,434,713,811,2,1975,179900
4,864,2,576,864,864,1,1971,97000
10,2392,3,968,2392,2392,2,2003,386250
5,1302,1,280,630,630,2,1971,112000
7,2520,3,721,1203,1214,2,1995,290000
6,987,1,280,483,483,1,1970,106000
5,912,1,336,912,912,1,1967,125000
7,1555,2,430,1373,1555,2,2005,192500
6,1194,1,312,1194,1194,1,1959,148000
8,2794,3,810,1462,1490,2,1995,403000
6,987,1,288,483,483,1,1972,94500
5,894,1,308,894,894,1,1976,128200
6,1960,2,440,860,860,2,2002,216500
6,987,1,264,483,483,1,1971,89500
7,1414,2,494,1414,1414,2,2004,185500
7,1744,2,457,996,1014,2,1993,194500
8,1694,3,818,1694,1694,2,2007,318000
6,1487,1,220,735,798,1,1945,113000
8,1566,2,750,1566,1566,2,2008,262500
5,866,0,0,686,866,1,1945,110500
5,1440,1,352,540,889,1,1900,79000
6,1217,1,288,626,626,1,1980,120000
7,2110,2,463,948,1222,2,1994,205000
7,1872,2,604,1845,1872,2,1988,241500
6,1928,1,440,1020,908,2,1910,137000
6,1375,2,451,1367,1375,1,1954,140000
7,1668,2,500,840,840,2,2003,180000
6,2144,2,389,1444,1444,2,1958,277000
3,1306,0,0,728,1306,1,1940,76500
8,1625,2,538,1573,1625,2,2006,235000
6,1640,2,520,798,798,2,2004,173000
6,1302,1,309,1302,1302,2,1964,158000
5,1314,1,294,1314,1314,1,1957,145000
7,2291,2,429,975,1005,2,1999,230000
6,1728,2,673,864,864,2,2003,207500
7,1604,2,660,1604,1604,2,2006,220000
7,1792,2,564,963,963,2,2001,231500
5,882,1,308,0,882,1,1956,97000
6,1382,2,884,1362,1382,1,1962,176000
8,2574,3,868,1482,1482,2,2007,276000
6,1212,2,492,506,1212,1,1977,151000
5,1316,2,484,926,926,1,1929,130000
5,764,2,504,680,764,1,1925,73000
6,1422,2,576,1422,1422,2,1981,175500
6,1511,2,413,802,802,2,1997,185000
5,2192,1,240,720,1052,2,1939,179500
5,778,1,924,740,778,1,1940,120500
6,1113,1,504,1143,1113,1,1976,148000
8,1939,3,1053,1095,1095,2,2006,266000
7,1363,2,439,1385,1363,1,1954,241500
8,2270,3,671,1152,1164,2,1999,290000
6,1632,1,338,1240,1632,2,1958,139000
5,816,1,264,816,816,1,1982,124500
7,1548,2,672,952,952,2,1925,205000
7,1560,2,573,1560,1560,2,2003,201000
4,864,2,400,864,864,1,1951,141000
9,2121,3,732,2121,2121,2,2006,415298
7,2022,2,505,1160,1156,2,1977,192000
7,1982,2,575,807,1175,2,1989,228500
6,1262,2,572,1262,1262,2,2006,185000
7,1314,2,626,1314,1314,2,2007,207500
8,1468,3,898,1468,1468,2,2008,244600
6,1575,2,529,1575,1575,2,1992,179200
7,1250,2,528,625,625,2,2006,164700
6,1734,2,440,912,1085,1,1962,159000
4,858,0,0,858,858,1,1971,88000
5,900,1,280,882,900,1,1967,122000
6,1396,1,384,698,698,1,1915,153575
8,1919,2,685,1079,1079,2,2006,233230
5,1716,0,0,780,936,2,1912,135900
5,1716,1,281,768,1148,1,1949,131000
7,2263,2,539,795,1468,2,1977,235000
6,1644,2,418,1416,1644,1,1953,167000
6,1003,2,588,1003,1003,1,1984,142500
5,1558,1,282,910,910,1,1950,152000
7,1950,2,576,975,975,2,1997,239000
6,1743,2,539,702,1041,1,1968,175000
6,1152,1,300,1092,1152,1,1950,158500
5,1336,1,375,1165,1336,1,1953,157000
8,2452,2,683,1028,1210,2,1998,267000
7,1541,3,843,1541,1541,2,2001,205000
5,894,2,552,894,894,1,1972,149900
7,3493,3,870,1470,1675,3,1880,295000
8,2000,3,888,2000,2000,2,2004,305900
7,2243,3,746,700,1122,2,1990,225000
6,1406,0,0,319,1035,1,1920,89500
4,861,2,539,861,861,1,1940,82500
9,1944,3,708,1896,1944,2,2003,360000
6,1501,2,420,697,697,2,1993,165600
6,972,1,240,972,972,1,1948,132000
5,1118,2,410,793,793,1,1939,119900
7,2036,2,513,2136,2036,2,1965,375000
7,1641,2,546,728,832,1,1925,178000
7,1432,2,432,716,716,2,2004,188500
7,2353,2,484,845,1153,2,1980,260000
8,1959,3,1025,1088,1088,2,2006,270000
7,2646,3,656,1347,1372,2,1993,260000
7,1472,2,588,1372,1472,2,1980,187500
9,2596,3,840,1249,1249,3,2006,342643
8,2468,3,872,1136,1136,2,2004,354000
7,2730,2,576,1502,1553,2,1986,301000
3,1163,1,220,1162,1163,1,1955,126175
7,2978,2,564,710,1898,2,1967,242000
5,803,2,360,720,803,1,1941,87000
8,1719,2,473,1719,1719,1,1993,324000
6,1383,1,292,1383,1383,1,1960,145250
6,2134,2,441,844,1445,2,1916,214500
5,1192,1,189,596,596,1,1920,78000
5,1728,1,352,1728,1728,2,1964,119000
5,1056,1,308,1056,1056,1,1958,139000
8,1629,3,880,3206,1629,2,2003,284000
7,1358,2,484,1358,1358,2,2004,207000
6,1638,2,472,943,943,2,1998,192000
5,1786,2,529,1499,1619,2,1965,228950
9,1922,3,676,1922,1922,2,2005,377426
7,1536,2,532,1536,1536,2,2002,214000
7,1621,2,440,1208,1621,2,1984,202500
6,1215,1,297,1215,1215,1,1958,155000
8,1908,2,431,967,993,2,2002,202900
4,841,1,294,721,841,1,1950,82000
3,1040,2,400,0,1040,2,1949,87500
9,1684,2,564,1684,1684,2,2005,266000
5,1112,1,336,536,536,1,1976,85000
6,1577,1,312,972,972,1,1939,140200
6,958,1,301,958,958,1,1960,151500
6,1478,2,498,1478,1478,2,1960,157500
7,1626,2,474,764,764,2,2003,154000
9,2728,3,706,1848,1848,2,2005,437154
9,1869,2,617,1869,1869,2,2007,318061
7,1453,2,445,1453,1453,1,1986,190000
5,1111,1,200,616,616,1,1941,95000
6,720,2,484,624,720,1,1928,105900
6,1595,1,240,940,1192,1,1940,140000
6,1200,2,521,1200,1200,2,1995,177500
6,1167,2,400,1158,1167,2,1992,173000
5,1142,2,528,1142,1142,1,1976,134000
5,1352,1,288,1062,1352,1,1958,130000
8,1924,2,592,1086,1086,2,1998,280000
6,912,2,470,888,912,1,1978,156000
5,1505,1,240,883,988,1,1940,145000
7,1922,2,672,0,495,3,2003,198500
6,987,1,264,483,483,1,1972,118000
6,1574,2,566,796,790,2,1976,190000
5,1344,1,468,672,672,1,1920,147000
6,1394,2,514,1394,1394,1,1963,159000
6,1431,1,296,1099,1431,1,1962,165000
5,1268,1,244,1268,1268,1,1954,132000
5,1287,2,576,1063,1287,1,1959,162000
6,1664,2,460,953,953,2,2000,172400
4,1588,2,680,0,1120,2,1959,134432
6,752,1,264,744,752,1,1984,125000
5,1319,1,270,608,1319,1,1953,123000
7,1928,2,434,847,847,2,2003,219500
1,904,0,0,683,904,0,1922,61000
5,914,2,576,870,914,1,1996,148000
8,2466,2,610,1580,1580,3,2004,340000
9,1856,3,834,1856,1856,1,2010,394432
6,1800,2,463,982,1007,2,2000,179000
5,1691,1,308,1026,1026,2,1924,127000
7,1301,2,572,1293,1301,2,2006,187750
7,1797,2,639,939,939,2,2006,213500
6,784,2,360,784,784,1,1928,76000
6,1953,2,501,1580,1079,2,1992,240000
8,1269,2,430,1256,1269,2,2004,192000
5,1184,0,0,658,658,1,1910,81000
6,1125,1,352,1041,1125,1,1976,125000
7,1479,2,577,1468,1479,2,1999,191000
10,2332,3,846,1682,1742,2,2007,426000
5,1367,1,384,861,961,1,1900,119000
6,1961,2,560,804,804,2,2001,215000
5,882,1,294,0,882,1,1959,106500
4,788,0,0,788,788,1,1941,100000
5,1034,1,240,735,735,1,1940,109000
5,1144,1,596,1144,1144,1,1956,129000
5,894,2,600,894,894,1,1972,123000
5,1812,1,264,864,876,2,1962,169500
5,1077,1,338,961,1077,1,1920,67000
7,1550,2,438,1092,1112,2,2006,241000
8,1288,2,500,1260,1288,1,1996,245500
7,1310,2,400,1310,1310,2,2005,164990
5,672,1,240,672,672,1,1940,108000
8,2263,2,420,1141,1165,2,1998,258000
6,1572,2,373,806,806,2,1995,168000
4,1620,2,490,1281,1620,2,1976,150000
6,1639,1,240,1064,1166,1,1936,115000
6,1680,1,308,840,840,2,1915,177000
7,2172,3,947,1063,1071,2,2006,280000
8,2078,3,836,1034,1050,2,2007,339750
5,1276,1,350,1276,1276,1,1958,60000
5,1056,2,572,1056,1056,1,1955,145000
7,1478,2,484,1470,1478,2,2009,222000
5,1028,2,360,1008,1028,1,1927,115000
7,2097,3,678,1080,1080,2,1993,228000
7,1340,2,396,1340,1340,2,2007,181134
6,1400,2,440,672,672,1,1978,149500
6,2624,3,864,1370,1370,2,1918,239000
5,1134,1,240,756,756,1,1940,126000
5,1056,1,304,1056,1056,1,1968,142000
7,1344,4,784,1344,1344,2,1997,206300
6,1602,2,529,1602,1602,2,1977,215000
5,988,2,520,988,988,1,1954,113000
8,2630,3,696,1470,1470,2,1998,315000
6,1196,1,297,1196,1196,1,1956,139000
7,1389,1,240,651,707,1,1946,135000
7,1644,2,569,1518,1644,2,1989,275000
4,907,1,352,907,907,1,1957,109008
7,1208,2,628,1208,1208,2,2007,195400
6,1412,2,576,1392,1412,2,1988,175000
6,987,1,264,483,483,1,1971,85400
6,1198,0,0,901,1088,1,1920,79900
5,1365,2,440,765,765,1,1971,122500
6,1604,2,470,926,926,2,1997,181000
4,630,0,0,630,630,1,1972,81000
7,1661,2,550,799,827,2,1996,212000
6,1118,2,440,648,734,1,1920,116000
6,904,1,180,884,904,1,1926,119000
5,694,1,352,440,694,1,1913,90350
6,1196,2,528,684,684,1,1920,110000
10,2402,3,672,3094,2402,2,2008,555000
4,1440,0,0,1440,1440,2,1955,118000
5,1573,2,360,1078,1128,2,1930,162900
7,1258,3,648,1258,1258,2,2006,172500
7,1908,2,493,915,933,2,1994,210000
6,1689,2,480,1436,1689,1,1956,127500
6,1888,2,578,1517,1888,2,1966,190000
7,1886,2,431,930,956,2,1998,199900
6,1376,1,198,780,780,2,1937,119500
3,1183,1,308,649,679,1,1948,120000
6,813,1,270,813,813,1,1930,110000
7,1533,2,576,1533,1533,2,1975,280000
6,1756,2,422,872,888,2,1996,204000
8,1590,2,676,768,786,2,2008,210000
5,1728,2,560,1728,1728,2,1976,188000
7,1242,2,528,1242,1242,1,1973,175500
5,1344,3,513,624,624,1,1916,98000
4,1663,2,529,1364,1663,1,1954,256000
8,1666,1,228,588,833,1,1925,161000
5,1203,1,352,709,979,1,1950,110000
8,1935,2,552,832,832,2,2009,263435
7,1135,2,576,560,575,1,1936,155000
5,864,1,360,864,864,1,1965,62383
6,1660,1,240,715,849,1,1934,188700
5,1040,0,0,1040,1040,2,1978,124000
7,1414,2,398,1375,1414,2,2004,178740
7,1277,2,526,1277,1277,1,1970,167000
5,1644,1,312,728,888,1,1942,146500
8,1634,3,866,1626,1634,2,2006,250000
6,1710,2,506,832,832,2,1993,187000
8,1502,2,528,1488,1502,1,1985,212000
7,1969,2,534,808,1161,2,1977,190000
6,1072,2,525,547,1072,1,2005,148000
8,1976,3,908,1976,1976,2,2006,440000
8,1652,2,499,1494,1652,2,2000,251000
5,970,2,624,970,970,1,1963,132500
6,1493,2,508,1478,1493,2,1997,208900
9,2643,3,694,2153,2069,2,2006,380000
8,1718,3,826,1705,1718,2,2007,297000
4,1131,2,672,907,1131,1,1937,89471
9,1850,3,772,1833,1850,2,2004,326000
9,1792,3,874,1792,1792,2,2003,374000
7,1826,1,164,910,916,1,1915,155000
6,1216,2,402,1216,1216,2,1998,164000
5,999,1,264,999,999,1,1962,132500
5,1113,1,264,1113,1113,1,1950,147000
5,1073,2,515,1073,1073,1,1965,156000
5,1484,2,487,1484,1484,2,1971,175000
5,2414,2,520,954,1766,2,1900,160000
4,630,1,286,630,630,1,1970,86000
5,1304,1,336,264,616,1,1976,115000
6,1578,1,240,806,958,1,1941,133000
6,1456,2,429,728,728,2,2006,172785
5,1269,1,308,1269,1269,1,1960,155000
5,886,1,273,190,886,1,1938,91300
4,720,0,0,720,720,1,1920,34900
8,3228,2,546,3200,3228,3,1992,430000
7,1820,1,240,1026,1133,2,1925,184000
5,899,1,288,864,899,1,1967,130000
5,912,1,297,912,912,1,1958,120000
6,1218,1,264,672,672,1,1973,113000
7,1768,2,603,866,866,2,2005,226700
5,1214,2,461,1214,1214,1,1965,140000
7,1801,2,484,1501,1801,2,1959,289000
6,1322,2,440,855,855,2,1974,147000
5,1960,2,400,960,960,2,1952,124500
8,1911,2,471,777,1065,2,1993,215000
6,1218,2,676,1218,1218,2,2009,208300
7,1378,2,360,689,689,2,1928,161000
5,1041,1,270,1041,1041,1,1959,124500
5,1363,1,288,1008,1363,1,1951,164900
7,1368,2,474,1368,1368,2,2005,202665
5,864,2,624,864,864,1,1958,129900
6,1080,2,484,1084,1080,1,1983,134000
5,789,1,200,768,789,1,1926,96500
10,2020,3,900,2006,2020,2,2009,402861
6,2119,2,583,689,1378,2,1972,158000
7,2344,3,889,1264,1277,2,1996,265000
6,1796,2,546,794,882,2,1998,211000
7,2080,1,282,1276,1276,1,1926,234000
4,1294,0,0,0,694,2,1900,106250
6,1244,1,336,1244,1244,1,1957,150000
6,1664,2,420,1004,1004,2,1947,159000
10,4676,3,884,3138,3138,3,2007,184750
7,2398,3,834,1379,1383,2,1996,315750
7,1266,2,453,1257,1266,2,2005,176000
5,928,1,252,928,928,1,1956,132000
9,2713,3,858,1452,1476,2,2008,446261
4,605,0,0,528,605,1,1920,86000
6,2515,2,484,2035,2515,3,1957,200624
6,1509,2,600,1461,1509,2,1988,175000
6,1362,2,502,611,751,2,1920,128000
5,827,1,392,0,827,1,1955,107500
1,334,0,0,0,334,1,1946,39300
8,1414,2,403,707,707,2,2004,178000
5,1347,0,0,1117,820,1,1910,107500
7,1724,2,527,880,880,2,1998,188000
4,864,2,576,864,864,1,1972,111250
5,1159,1,336,1051,1159,1,1968,158000
8,1601,2,670,1581,1601,2,2001,272000
9,1838,3,765,1838,1838,2,2006,315000
8,2285,3,648,969,997,2,2000,248000
7,1680,2,583,1650,1680,2,1998,213250
7,767,1,367,723,767,1,1998,133000
7,1496,2,426,654,664,2,2006,179665
7,2183,3,786,1204,1377,2,1988,229000
6,1635,2,440,1065,915,1,1923,210000
5,768,2,624,768,768,1,1970,129500
5,825,2,720,825,825,1,1955,125000
7,2094,2,615,912,912,2,2003,263000
6,1069,2,440,1069,1069,2,1977,140000
5,928,1,288,928,928,1,1957,112500
8,1717,3,908,1709,1717,2,2006,255500
4,1126,2,520,0,1126,2,1949,108000
7,2046,3,871,998,1006,2,2003,284000
5,1048,1,280,993,1048,1,1922,113000
5,1092,1,299,1092,1092,1,1957,141000
4,1336,1,570,637,897,1,1920,108000
7,1446,2,406,729,729,2,1996,175000
7,1557,2,420,1374,1557,2,2003,234000
5,1392,2,528,1392,1392,1,1957,121500
5,1389,2,418,1389,1389,1,1974,170000
5,996,0,0,996,996,1,1940,108000
6,1674,2,396,1163,1163,2,1918,185000
7,2295,2,590,1095,1166,2,1992,268000
6,1647,1,216,806,841,1,1915,128000
9,2504,3,656,1122,1134,2,2005,325000
7,1535,2,532,1517,1535,2,2004,214000
8,2132,2,612,1496,1496,1,1983,316600
5,943,2,600,943,943,1,1979,135960
5,1728,2,576,1728,1728,2,1965,142600
6,864,1,288,864,864,1,1959,120000
7,1692,2,650,846,846,2,2009,224500
7,1430,2,400,384,774,2,2000,170000
5,1109,1,288,372,576,1,1971,139000
5,1216,1,336,832,832,1,1947,118500
7,1477,1,216,861,877,2,1928,145000
5,1320,2,564,1164,1320,1,1966,164500
7,1392,2,540,689,703,2,2007,146000
5,1795,1,352,1050,1050,2,1954,131500
6,1429,2,572,1144,1429,1,1960,181900
8,2042,3,1390,2042,2042,2,2008,253293
6,816,0,0,816,816,1,1990,118500
10,2775,2,880,1237,1521,3,1893,325000
4,1573,1,240,884,989,1,1935,133000
8,2028,3,880,1868,2028,2,2005,369900
6,838,1,275,816,838,1,1918,130000
5,860,2,528,840,860,1,1982,137000
5,1473,1,452,1437,1473,1,1968,143000
5,935,1,308,742,779,1,1930,79500
7,1582,2,520,770,770,2,2004,185900
10,2296,3,842,1722,1728,2,2008,451950
5,816,2,816,816,816,1,1982,138000
6,848,2,420,848,848,1,2003,140000
5,924,1,280,924,924,1,1975,110000
8,1826,3,758,1814,1826,2,2005,319000
6,1368,1,216,684,684,1,1910,114504
7,1402,3,648,1258,1402,0,2006,194201
5,1647,2,621,1430,1647,2,1977,217500
6,1556,2,452,716,716,2,1980,151000
8,1904,2,736,1058,1058,2,2005,275000
6,1375,1,544,780,780,1,1937,141000
8,1915,2,506,908,927,2,1992,220000
7,1200,2,480,600,600,2,2004,151000
7,1494,2,530,1494,1494,2,2002,221000
7,1986,2,486,768,1186,2,1965,205000
5,1040,2,576,1040,1040,1,1996,152000
5,2008,1,230,896,1112,3,1948,225000
8,3194,2,380,965,1940,2,1934,359100
4,1029,1,261,1029,1029,1,1961,118500
9,2153,3,736,1440,1476,2,2000,313000
6,1032,2,564,1032,1032,2,1978,148000
8,1872,2,531,1299,1299,2,2001,261500
5,1120,0,0,1120,1120,1,2007,147000
4,630,0,0,630,630,1,1972,75500
6,1054,2,480,936,1054,1,1963,137500
6,1509,2,393,783,807,2,2002,183200
6,832,2,528,832,832,1,1954,105500
9,1828,3,774,1822,1828,2,2007,314813
8,2262,3,749,1482,1482,2,2003,305000
3,864,0,0,864,864,1,1914,67000
6,2614,2,624,1522,1548,2,1974,240000
5,980,2,484,980,980,1,1977,135000
6,1512,2,440,756,756,2,2000,168500
6,1790,2,484,732,1012,1,1972,165150
6,1116,2,440,1116,1116,1,1962,160000
5,1422,1,286,978,1422,1,1960,139900
6,1520,1,364,1156,1520,1,1955,153000
5,2080,2,504,1040,1040,1,1969,135000
6,1350,2,520,1248,1350,1,1964,168500
5,1750,1,240,636,1089,1,1880,124000
8,1554,2,627,1554,1554,2,2006,209500
